Date,IMP
1/1/1989,37513.2
2/1/1989,38561.7
3/1/1989,39724.7
4/1/1989,38664.7
5/1/1989,40909.6
6/1/1989,39780.9
7/1/1989,38951.3
8/1/1989,40117.3
9/1/1989,39232.9
10/1/1989,40961.2
11/1/1989,40429
12/1/1989,38364
1/1/1990,41380.4
2/1/1990,39164.4
3/1/1990,41830
4/1/1990,39796.9
5/1/1990,40599.8
6/1/1990,40687
7/1/1990,41315.8
8/1/1990,41795.6
9/1/1990,41343.8
10/1/1990,43875.5
11/1/1990,43066.4
12/1/1990,39986.1
1/1/1991,41282.2
2/1/1991,39411.9
3/1/1991,38896.7
4/1/1991,39769.4
5/1/1991,40256
6/1/1991,39842.7
7/1/1991,40413.4
8/1/1991,40901.9
9/1/1991,41488.2
10/1/1991,42461.9
11/1/1991,41653.4
12/1/1991,41795
1/1/1992,41809.5
2/1/1992,41370.6
3/1/1992,42681.2
4/1/1992,43398.8
5/1/1992,43954.1
6/1/1992,44954.1
7/1/1992,44989.4
8/1/1992,45466.5
9/1/1992,45670.9
10/1/1992,46159.5
11/1/1992,45971.2
12/1/1992,46238.6
1/1/1993,45495
2/1/1993,45102
3/1/1993,48969
4/1/1993,48573
5/1/1993,47942
6/1/1993,49189
7/1/1993,48112
8/1/1993,47901
9/1/1993,49083
10/1/1993,50820
11/1/1993,49939
12/1/1993,49534
1/1/1994,50027
2/1/1994,50399
3/1/1994,52267
4/1/1994,52936
5/1/1994,53830
6/1/1994,55731
7/1/1994,56096
8/1/1994,57396
9/1/1994,57640
10/1/1994,57950
11/1/1994,59778
12/1/1994,59204
1/1/1995,60492
2/1/1995,59836
3/1/1995,61390
4/1/1995,62557
5/1/1995,62311
6/1/1995,62698
7/1/1995,62479
8/1/1995,62042
9/1/1995,62845
10/1/1995,62028
11/1/1995,62138
12/1/1995,62727
1/1/1996,63825
2/1/1996,63519
3/1/1996,63806
4/1/1996,64459
5/1/1996,66464
6/1/1996,66087
7/1/1996,66253
8/1/1996,67329
9/1/1996,68080
10/1/1996,67423
11/1/1996,68364
12/1/1996,69681
1/1/1997,69846
2/1/1997,70131
3/1/1997,70023
4/1/1997,71262
5/1/1997,72137
6/1/1997,71658
7/1/1997,73330
8/1/1997,73623
9/1/1997,74408
10/1/1997,74641
11/1/1997,73588
12/1/1997,75056
1/1/1998,74523
2/1/1998,74184
3/1/1998,76369
4/1/1998,76350
5/1/1998,76492
6/1/1998,74911
7/1/1998,74594
8/1/1998,75707
9/1/1998,76107
10/1/1998,77880
11/1/1998,77912
12/1/1998,76867
1/1/1999,77781
2/1/1999,79842
3/1/1999,79569
4/1/1999,80801
5/1/1999,83200
6/1/1999,85868
7/1/1999,87186
8/1/1999,87837
9/1/1999,88512
10/1/1999,89923
11/1/1999,90984
12/1/1999,93115
1/1/2000,93900
2/1/2000,95901
3/1/2000,99176
4/1/2000,99242
5/1/2000,99651
6/1/2000,103019
7/1/2000,103349
8/1/2000,103665
9/1/2000,106396
10/1/2000,106056
11/1/2000,103993
12/1/2000,103673
1/1/2001,105470
2/1/2001,100350
3/1/2001,101853
4/1/2001,98164
5/1/2001,95150
6/1/2001,94978
7/1/2001,93680
8/1/2001,92569
9/1/2001,90957
10/1/2001,91322
11/1/2001,89979
12/1/2001,86527
1/1/2002,89443
2/1/2002,91539
3/1/2002,91447
4/1/2002,95972
5/1/2002,96395
6/1/2002,97848
7/1/2002,97197
8/1/2002,99721
9/1/2002,99364
10/1/2002,96860
11/1/2002,102120
12/1/2002,103460
1/1/2003,102284
2/1/2003,101719
3/1/2003,105340
4/1/2003,103175
5/1/2003,102613
6/1/2003,103398
7/1/2003,105082
8/1/2003,101990
9/1/2003,105721
10/1/2003,107040
11/1/2003,107742
12/1/2003,111017
1/1/2004,110890
2/1/2004,113977
3/1/2004,118678
4/1/2004,118542
5/1/2004,120671
6/1/2004,124355
7/1/2004,122979
8/1/2004,124224
9/1/2004,124400
10/1/2004,128810
11/1/2004,131867
12/1/2004,130310
1/1/2005,132065
2/1/2005,134921
3/1/2005,130902
4/1/2005,137129
5/1/2005,135665
6/1/2005,137614
7/1/2005,137423
8/1/2005,139189
9/1/2005,143958
10/1/2005,148676
11/1/2005,146650
12/1/2005,149264
1/1/2006,152919
2/1/2006,148596
3/1/2006,150759
4/1/2006,151278
5/1/2006,154996
6/1/2006,155279
7/1/2006,156232
8/1/2006,159838
9/1/2006,157913
10/1/2006,153411
11/1/2006,154406
12/1/2006,158312
1/1/2007,156000
2/1/2007,155097
3/1/2007,161806
4/1/2007,159655
5/1/2007,161050
6/1/2007,163137
7/1/2007,163679
8/1/2007,163444
9/1/2007,164883
10/1/2007,166868
11/1/2007,171602
12/1/2007,169741
1/1/2008,175412
2/1/2008,179496
3/1/2008,175126
4/1/2008,182776
5/1/2008,183767
6/1/2008,186963
7/1/2008,194334
8/1/2008,186261
9/1/2008,175833
10/1/2008,174067
11/1/2008,150372
12/1/2008,139234
1/1/2009,129116
2/1/2009,121807
3/1/2009,121885
4/1/2009,120572
5/1/2009,118736
6/1/2009,122156
7/1/2009,129912
8/1/2009,128770
9/1/2009,136267
10/1/2009,139309
11/1/2009,143475
12/1/2009,147620
1/1/2010,146808
2/1/2010,150520
3/1/2010,153982
4/1/2010,153706
5/1/2010,158128
6/1/2010,162202
7/1/2010,159664
8/1/2010,164528
9/1/2010,163835
10/1/2010,165302
11/1/2010,164893
12/1/2010,170290
1/1/2011,178698
2/1/2011,174228
3/1/2011,181256
4/1/2011,181060
5/1/2011,185321
6/1/2011,185391
7/1/2011,185822
8/1/2011,185727
9/1/2011,185718
10/1/2011,186685
11/1/2011,187195
12/1/2011,190853
1/1/2012,191550.6956
2/1/2012,186726.5328
3/1/2012,196615.3754
4/1/2012,192329.2974
5/1/2012,191026.5649
6/1/2012,188829.7513
7/1/2012,187644.6175
8/1/2012,187209.2058
9/1/2012,188747.8941
10/1/2012,185822.2734
11/1/2012,192148.2592
12/1/2012,187616.6799
1/1/2013,189809.2867
2/1/2013,192655.2569
3/1/2013,183966.6677
4/1/2013,188166.3533
5/1/2013,190945.6402
6/1/2013,186853.7008
7/1/2013,187817.0812
8/1/2013,188180.3791
9/1/2013,191294.8586
10/1/2013,191086.9416
11/1/2013,189221.4219
12/1/2013,187989.1455
1/1/2014,191306.5961
2/1/2014,192299.4887
3/1/2014,198508.0578
4/1/2014,200137.5022
5/1/2014,197948.029
6/1/2014,195901.5509
7/1/2014,196925.2261
8/1/2014,196015.0095
9/1/2014,197636.4718
10/1/2014,197725.5256
11/1/2014,194642.7901
12/1/2014,197309.8249
1/1/2015,190171.8521
2/1/2015,183240.4108
3/1/2015,197890.1921
4/1/2015,190462.0509
5/1/2015,187594.8233
6/1/2015,190391.4566
7/1/2015,187616.6324
8/1/2015,188240.4737
9/1/2015,186751.1768
10/1/2015,183960.5077
11/1/2015,181460.8656
12/1/2015,181030.9095
1/1/2016,177648.4545
2/1/2016,181906.766
3/1/2016,174726.3916
4/1/2016,177414.3973
5/1/2016,179919.7064
6/1/2016,184252.8128
7/1/2016,183228.8871
8/1/2016,184164.5057
9/1/2016,183338.9409
10/1/2016,184019.3186
11/1/2016,187014.2535
12/1/2016,189151.4663
1/1/2017,192879.6114
2/1/2017,189995.2894
3/1/2017,190903.7561
4/1/2017,192993.9348
5/1/2017,192258.7075
6/1/2017,192962.5455
7/1/2017,191872.7213
8/1/2017,192126.6169
9/1/2017,194111.284
10/1/2017,196928.4568
11/1/2017,203973.2712
12/1/2017,208877.8255
1/1/2018,206775.8321
2/1/2018,210658.4956
3/1/2018,209152.7638
4/1/2018,208953.5568
5/1/2018,209384.4887
6/1/2018,209964.4873
7/1/2018,212294.9036
8/1/2018,213446.7616
9/1/2018,216308.5075
10/1/2018,216710.3062
11/1/2018,211365.0873
12/1/2018,215790.541
1/1/2019,209471.5167
2/1/2019,208905.9245
3/1/2019,212368.2926
4/1/2019,206987.8981
